Sample_No,Sample,Lithology,Glass,Clay10A,Clay14A,Analcime,Chabazite,Clinoptilolite,Erionite,Mordenite,Phillipsite,K_feldspar,Calcite,Quartz,Opal,Plagioclase,Other,Reference,Study_Area
SL1146,D-101J,Tuff,Absent,Absent,Absent,Absent,Absent,Major,Absent,Absent,Absent,Absent,Minor,Minor,Absent,Absent,Absent,4093,Durkee
SL1147,D-101I,Tuff,Absent,Absent,Absent,Absent,Absent,Major,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,4093,Durkee
SL1148,D-101H,Tuff,Absent,Absent,Trace,Absent,Absent,Minor,Absent,Absent,Absent,Absent,Major,Minor,Absent,Absent,Absent,4093,Durkee
SL1149,D-101G,Tuff,Absent,Absent,Trace,Absent,Absent,Trace,Trace,Absent,Absent,Absent,Major,Absent,Absent,Absent,Absent,4093,Durkee
SL1150,D-101F,Tuff,Absent,Absent,Minor,Absent,Absent,Trace,Trace,Absent,Absent,Absent,Major,Absent,Absent,Trace,Absent,4093,Durkee
SL1151,D-101C,Tuff,Absent,Absent,Trace,Absent,Absent,Major,Minor,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,4093,Durkee
SL1152,D-101A,Tuff,Absent,Trace,Trace,Minor,Absent,Absent,Minor,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,4093,Durkee
SL1153,D-103A,Tuff,Major,Absent,Trace,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,4093,Durkee
SL1154,D-104,Tuff,Absent,Absent,Trace,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Trace,Major,Absent,Absent,4093,Durkee
SL1155,D-105,Tuff,Major,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,4093,Durkee
SL1156,D-106,Tuff,Major,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Trace,Absent,Trace,Absent,4093,Durkee
SL1157,HL-9F,Carbonate,Absent,Absent,Minor,Absent,Absent,Absent,Absent,Absent,Absent,Trace,Minor,Absent,Absent,Absent,Trace,4055,Harney Lake
SL1158,HL-24-3,Carbonate,Absent,Trace,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Minor,Minor,Trace,Absent,Absent,Minor,4055,Harney Lake
SL1159,HL-24-10,Carbonate,Absent,Absent,Minor,Absent,Absent,Absent,Absent,Absent,Absent,Minor,Minor,Minor,Absent,Absent,Trace,4055,Harney Lake
SL1160,HL-25-7,Carbonate,Absent,Absent,Minor,Absent,Trace,Minor,Absent,Absent,Trace,Absent,Minor,Absent,Absent,Absent,Absent,4055,Harney Lake
SL1161,HL-25-8B,Carbonate,Absent,Absent,Minor,Absent,Absent,Minor,Absent,Absent,Absent,Absent,Major,Absent,Absent,Absent,Absent,4055,Harney Lake
SL1162,HL-26C,Carbonate,Absent,Absent,Minor,Absent,Absent,Minor,Absent,Absent,Absent,Absent,Major,Absent,Absent,Absent,Trace,4055,Harney Lake
SL1163,HL-48-6B,Carbonate,Absent,Absent,Minor,Absent,Trace,Trace,Absent,Absent,Absent,Absent,Minor,Absent,Absent,Minor,Absent,4055,Harney Lake
SL1164,HL-48-10,Carbonate,Absent,Absent,Minor,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Major,Absent,Absent,Absent,Absent,4055,Harney Lake
SL1165,HL-66-11B,Carbonate,Absent,Absent,Minor,Absent,Absent,Absent,Absent,Absent,Minor,Absent,Minor,Absent,Absent,Minor,Minor,4055,Harney Lake
SL1166,HL-75A,Carbonate,Absent,Absent,Minor,Absent,Absent,Minor,Absent,Absent,Absent,Absent,Minor,Absent,Absent,Minor,Absent,4055,Harney Lake
SL1167,HL-79B,Carbonate,Absent,Absent,Minor,Absent,Absent,Minor,Absent,Absent,Absent,Absent,Minor,Absent,Minor,Minor,Absent,4055,Harney Lake
SL1168,HL-91B,Carbonate,Absent,Absent,Minor,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Minor,Minor,Absent,Trace,Absent,4055,Harney Lake
SL1169,HL-96B,Carbonate,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Minor,Major,Absent,Absent,Absent,4055,Harney Lake
SL1170,HL-9B,Mudstone,Absent,Absent,Minor,Absent,Absent,Absent,Absent,Absent,Absent,Minor,Minor,Absent,Absent,Absent,Absent,4055,Harney Lake
SL1171,HL-43A,Mudstone,Absent,Absent,Minor,Minor,Absent,Absent,Absent,Absent,Absent,Minor,Absent,Absent,Absent,Absent,Absent,4055,Harney Lake
SL1172,HL-10A,Sandstone,Minor,Absent,Minor,Absent,Absent,Absent,Minor,Absent,Absent,Absent,Absent,Minor,Minor,Minor,Absent,4055,Harney Lake
SL1173,HL-17A,Sandstone,Absent,Absent,Minor,Absent,Absent,Trace,Minor,Absent,Absent,Absent,Absent,Absent,Absent,Minor,Absent,4055,Harney Lake
SL1174,HL-17B,Sandstone,Absent,Absent,Trace,Absent,Absent,Minor,Minor,Absent,Minor,Absent,Absent,Absent,Absent,Minor,Minor,4055,Harney Lake
SL1175,HL-24-1B,Sandstone,Absent,Absent,Minor,Absent,Absent,Minor,Minor,Absent,Absent,Absent,Absent,Absent,Absent,Minor,Absent,4055,Harney Lake
SL1176,HL-24-8B,Sandstone,Absent,Absent,Minor,Absent,Trace,Minor,Absent,Absent,Absent,Minor,Minor,Absent,Absent,Minor,Absent,4055,Harney Lake
SL1177,HL-24-11,Sandstone,Absent,Minor,Minor,Absent,Absent,Minor,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Minor,Absent,4055,Harney Lake
SL1178,HL-25-5,Sandstone,Absent,Absent,Minor,Absent,Absent,Minor,Minor,Absent,Absent,Absent,Absent,Absent,Absent,Minor,Absent,4055,Harney Lake
SL1179,HL-26A,Sandstone,Absent,Minor,Minor,Absent,Absent,Absent,Minor,Absent,Absent,Absent,Absent,Trace,Absent,Minor,Trace,4055,Harney Lake
SL1180,HL-47B,Sandstone,Minor,Absent,Minor,Absent,Absent,Absent,Minor,Absent,Minor,Absent,Absent,Absent,Absent,Minor,Absent,4055,Harney Lake
SL1181,HL-47C,Sandstone,Absent,Absent,Minor,Absent,Minor,Absent,Minor,Absent,Minor,Absent,Absent,Absent,Absent,Minor,Absent,4055,Harney Lake
SL1182,HL-48-1B,Sandstone,Absent,Absent,Trace,Absent,Absent,Minor,Minor,Absent,Absent,Absent,Absent,Absent,Absent,Minor,Absent,4055,Harney Lake
SL1183,HL-48-2,Sandstone,Absent,Absent,Minor,Absent,Trace,Absent,Minor,Absent,Absent,Absent,Absent,Absent,Absent,Minor,Absent,4055,Harney Lake
SL1184,HL-48-3,Sandstone,Absent,Absent,Absent,Absent,Absent,Minor,Minor,Absent,Absent,Absent,Absent,Absent,Absent,Minor,Absent,4055,Harney Lake
SL1185,HL-48-4,Sandstone,Absent,Absent,Minor,Absent,Absent,Absent,Trace,Absent,Absent,Absent,Absent,Absent,Absent,Minor,Trace,4055,Harney Lake
SL1186,HL-48-5,Sandstone,Absent,Absent,Minor,Absent,Absent,Minor,Minor,Absent,Absent,Absent,Absent,Absent,Absent,Minor,Absent,4055,Harney Lake
SL1187,HL-48-6A,Sandstone,Absent,Absent,Minor,Absent,Absent,Minor,Trace,Absent,Absent,Absent,Absent,Absent,Absent,Minor,Absent,4055,Harney Lake
SL1188,HL-48-7,Sandstone,Absent,Absent,Minor,Absent,Absent,Absent,Minor,Absent,Absent,Absent,Minor,Minor,Absent,Absent,Absent,4055,Harney Lake
SL1189,HL-48-9,Sandstone,Absent,Absent,Minor,Absent,Absent,Absent,Minor,Absent,Absent,Absent,Absent,Absent,Absent,Minor,Absent,4055,Harney Lake
SL1190,HL-50A,Sandstone,Absent,Absent,Minor,Absent,Absent,Minor,Minor,Absent,Absent,Absent,Absent,Absent,Absent,Minor,Absent,4055,Harney Lake
SL1191,HL-56,Sandstone,Absent,Absent,Minor,Absent,Absent,Absent,Minor,Absent,Absent,Absent,Absent,Absent,Absent,Minor,Trace,4055,Harney Lake
SL1192,HL-66-4A,Sandstone,Absent,Absent,Minor,Absent,Absent,Minor,Minor,Absent,Absent,Absent,Absent,Absent,Absent,Minor,Absent,4055,Harney Lake
SL1193,HL-66-4B,Sandstone,Absent,Absent,Minor,Absent,Absent,Minor,Absent,Absent,Minor,Absent,Absent,Absent,Minor,Minor,Absent,4055,Harney Lake
SL1194,HL-66-4C,Sandstone,Absent,Trace,Absent,Absent,Absent,Minor,Absent,Absent,Minor,Absent,Absent,Absent,Absent,Minor,Minor,4055,Harney Lake
SL1195,HL-66-5A,Sandstone,Minor,Absent,Minor,Absent,Absent,Absent,Minor,Absent,Absent,Absent,Absent,Absent,Absent,Minor,Absent,4055,Harney Lake
SL1196,HL-66-7C,Sandstone,Minor,Absent,Minor,Absent,Absent,Absent,Minor,Absent,Absent,Absent,Absent,Absent,Absent,Minor,Absent,4055,Harney Lake
SL1197,HL-66-9,Sandstone,Absent,Absent,Minor,Absent,Absent,Absent,Minor,Absent,Minor,Absent,Absent,Absent,Absent,Minor,Absent,4055,Harney Lake
SL1198,HL-85A,Sandstone,Absent,Absent,Trace,Absent,Absent,Minor,Minor,Absent,Absent,Absent,Minor,Absent,Absent,Minor,Absent,4055,Harney Lake
SL1199,HL-107A,Sandstone,Absent,Absent,Minor,Absent,Absent,Minor,Absent,Absent,Minor,Absent,Absent,Absent,Absent,Minor,Absent,4055,Harney Lake
SL1200,HL-107C,Sandstone,Absent,Absent,Minor,Absent,Absent,Minor,Minor,Absent,Absent,Absent,Absent,Minor,Absent,Minor,Trace,4055,Harney Lake
SL1201,HL-110B,Sandstone,Absent,Absent,Minor,Absent,Absent,Minor,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Minor,Absent,4055,Harney Lake
SL1202,HL-10B,Siltstone,Minor,Minor,Minor,Absent,Absent,Absent,Trace,Absent,Absent,Absent,Trace,Absent,Absent,Minor,Absent,4055,Harney Lake
SL1203,HL-24-1A,Siltstone,Absent,Absent,Minor,Minor,Absent,Minor,Absent,Absent,Absent,Minor,Absent,Absent,Absent,Minor,Absent,4055,Harney Lake
SL1204,HL-24-4A,Siltstone,Absent,Absent,Minor,Minor,Absent,Absent,Absent,Absent,Absent,Minor,Absent,Absent,Absent,Minor,Trace,4055,Harney Lake
SL1205,HL-24-6,Siltstone,Absent,Trace,Minor,Absent,Absent,Absent,Absent,Absent,Absent,Minor,Absent,Minor,Absent,Minor,Absent,4055,Harney Lake
SL1206,HL-25-6,Siltstone,Absent,Trace,Minor,Absent,Absent,Minor,Absent,Absent,Absent,Absent,Minor,Absent,Absent,Absent,Absent,4055,Harney Lake
SL1207,HL-48-1A,Siltstone,Absent,Absent,Minor,Absent,Trace,Absent,Absent,Absent,Minor,Absent,Absent,Absent,Minor,Minor,Absent,4055,Harney Lake
SL1208,HL-66-10,Siltstone,Absent,Absent,Minor,Absent,Minor,Absent,Trace,Absent,Minor,Absent,Absent,Absent,Absent,Minor,Absent,4055,Harney Lake
SL1209,HL-1,Tuff,Absent,Absent,Trace,Absent,Absent,Major,Absent,Minor,Absent,Absent,Absent,Absent,Absent,Trace,Absent,4055,Harney Lake
SL1210,HL-2A,Tuff,Absent,Absent,Absent,Absent,Absent,Major,Absent,Minor,Absent,Absent,Absent,Absent,Absent,Trace,Absent,4055,Harney Lake
SL1211,HL-2B,Tuff,Absent,Absent,Trace,Absent,Absent,Major,Trace,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,4055,Harney Lake
SL1212,HL-3,Tuff,Absent,Absent,Absent,Absent,Absent,Trace,Absent,Absent,Absent,Minor,Absent,Minor,Absent,Absent,Absent,4055,Harney Lake
SL1213,HL-4A,Tuff,Absent,Absent,Trace,Absent,Absent,Major,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,4055,Harney Lake
SL1214,HL-4B,Tuff,Absent,Absent,Trace,Absent,Absent,Major,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Minor,Absent,4055,Harney Lake
SL1215,HL-5A,Tuff,Absent,Absent,Absent,Absent,Trace,Major,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,4055,Harney Lake
SL1216,HL-5B,Tuff,Absent,Absent,Absent,Absent,Absent,Major,Absent,Minor,Absent,Absent,Absent,Absent,Absent,Absent,Absent,4055,Harney Lake
SL1217,HL-6A,Tuff,Absent,Absent,Absent,Absent,Absent,Major,Minor,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,4055,Harney Lake
SL1218,HL-6B,Tuff,Absent,Absent,Trace,Absent,Absent,Major,Absent,Absent,Trace,Absent,Absent,Absent,Absent,Absent,Absent,4055,Harney Lake
SL1219,HL-7,Tuff,Absent,Absent,Trace,Absent,Absent,Major,Absent,Minor,Absent,Absent,Absent,Absent,Absent,Absent,Absent,4055,Harney Lake
SL1220,HL-9D,Tuff,Absent,Absent,Trace,Absent,Trace,Absent,Absent,Absent,Absent,Major,Absent,Absent,Absent,Minor,Absent,4055,Harney Lake
SL1221,HL-9E,Tuff,Absent,Absent,Minor,Absent,Absent,Absent,Absent,Absent,Absent,Major,Absent,Absent,Absent,Absent,Absent,4055,Harney Lake
SL1222,HL-9A,Tuff,Absent,Absent,Absent,Absent,Trace,Minor,Absent,Absent,Absent,Minor,Absent,Absent,Absent,Minor,Absent,4055,Harney Lake
SL1223,HL-10C,Tuff,Absent,Absent,Minor,Absent,Absent,Minor,Minor,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,4055,Harney Lake
SL1224,HL-10D,Tuff,Absent,Absent,Minor,Absent,Absent,Minor,Minor,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,4055,Harney Lake
SL1225,HL-11A,Tuff,Absent,Absent,Absent,Absent,Trace,Minor,Absent,Absent,Absent,Major,Absent,Absent,Absent,Absent,Absent,4055,Harney Lake
SL1226,HL-11B,Tuff,Absent,Absent,Minor,Absent,Absent,Minor,Absent,Absent,Absent,Minor,Absent,Absent,Absent,Absent,Absent,4055,Harney Lake
SL1227,HL-12,Tuff,Absent,Absent,Minor,Absent,Absent,Major,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,4055,Harney Lake
SL1228,HL-13,Tuff,Absent,Absent,Minor,Absent,Absent,Major,Trace,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,4055,Harney Lake
SL1229,HL-14A,Tuff,Absent,Absent,Absent,Absent,Absent,Major,Absent,Absent,Absent,Absent,Absent,Absent,Trace,Absent,Absent,4055,Harney Lake
SL1230,HL-14B,Tuff,Absent,Absent,Absent,Absent,Absent,Major,Absent,Absent,Absent,Absent,Absent,Absent,Minor,Absent,Absent,4055,Harney Lake
SL1231,HL-15,Tuff,Absent,Absent,Absent,Absent,Absent,Major,Trace,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,4055,Harney Lake
SL1232,HL-16A,Tuff,Minor,Absent,Minor,Absent,Absent,Absent,Minor,Absent,Absent,Absent,Absent,Minor,Absent,Minor,Absent,4055,Harney Lake
SL1233,HL-16B,Tuff,Minor,Absent,Minor,Absent,Absent,Absent,Absent,Absent,Minor,Absent,Absent,Absent,Minor,Absent,Absent,4055,Harney Lake
SL1234,HL-18D,Tuff,Absent,Absent,Trace,Absent,Absent,Minor,Absent,Minor,Absent,Absent,Absent,Absent,Absent,Absent,Absent,4055,Harney Lake
SL1235,HL-18E,Tuff,Absent,Absent,Trace,Absent,Absent,Major,Absent,Minor,Absent,Absent,Absent,Absent,Absent,Absent,Absent,4055,Harney Lake
SL1236,HL-18F,Tuff,Absent,Absent,Trace,Absent,Absent,Minor,Absent,Minor,Absent,Absent,Absent,Absent,Absent,Absent,Absent,4055,Harney Lake
SL1237,HL-18G,Tuff,Absent,Absent,Absent,Absent,Absent,Major,Absent,Minor,Absent,Absent,Absent,Absent,Absent,Absent,Absent,4055,Harney Lake
SL1238,HL-18H,Tuff,Absent,Absent,Trace,Absent,Absent,Major,Trace,Minor,Absent,Absent,Absent,Absent,Absent,Absent,Absent,4055,Harney Lake
SL1239,HL-18C,Tuff,Absent,Absent,Absent,Absent,Absent,Major,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Minor,Absent,4055,Harney Lake
SL1240,HL-19,Tuff,Absent,Absent,Minor,Absent,Absent,Major,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,4055,Harney Lake
SL1241,HL-21,Tuff,Absent,Absent,Trace,Absent,Absent,Minor,Absent,Minor,Absent,Absent,Absent,Absent,Minor,Minor,Absent,4055,Harney Lake
SL1242,HL-22-2A,Tuff,Absent,Absent,Minor,Absent,Absent,Minor,Absent,Absent,Absent,Absent,Absent,Absent,Minor,Absent,Absent,4055,Harney Lake
SL1243,HL-22-2B,Tuff,Absent,Absent,Trace,Absent,Absent,Major,Absent,Minor,Absent,Absent,Absent,Absent,Minor,Trace,Absent,4055,Harney Lake
SL1244,HL-22-3,Tuff,Absent,Absent,Absent,Absent,Absent,Minor,Trace,Minor,Absent,Absent,Absent,Absent,Absent,Absent,Absent,4055,Harney Lake
SL1245,HL-22-4,Tuff,Absent,Absent,Absent,Absent,Absent,Minor,Trace,Minor,Absent,Absent,Absent,Absent,Absent,Minor,Absent,4055,Harney Lake
SL1246,HL-23,Tuff,Minor,Absent,Absent,Absent,Minor,Minor,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Trace,Absent,4055,Harney Lake
SL1247,HL-24-2A,Tuff,Absent,Absent,Minor,Absent,Absent,Absent,Absent,Absent,Absent,Major,Absent,Absent,Absent,Absent,Absent,4055,Harney Lake
SL1248,HL-24-2B,Tuff,Absent,Absent,Minor,Absent,Absent,Trace,Absent,Absent,Absent,Minor,Minor,Absent,Absent,Absent,Absent,4055,Harney Lake
SL1249,HL-24-4B,Tuff,Absent,Absent,Minor,Absent,Absent,Absent,Absent,Absent,Absent,Major,Absent,Absent,Absent,Absent,Absent,4055,Harney Lake
SL1250,HL-24-5,Tuff,Absent,Absent,Minor,Absent,Absent,Absent,Absent,Absent,Absent,Major,Absent,Absent,Absent,Minor,Absent,4055,Harney Lake
SL1251,HL-24-7,Tuff,Absent,Trace,Minor,Absent,Absent,Absent,Absent,Absent,Absent,Minor,Absent,Minor,Absent,Absent,Absent,4055,Harney Lake
SL1252,HL-24-8A,Tuff,Absent,Absent,Minor,Absent,Absent,Absent,Absent,Absent,Absent,Minor,Minor,Minor,Absent,Absent,Absent,4055,Harney Lake
SL1253,HL-24-12,Tuff,Absent,Absent,Minor,Absent,Absent,Major,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,4055,Harney Lake
SL1254,HL-24-13,Tuff,Absent,Absent,Minor,Absent,Absent,Major,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Trace,Absent,4055,Harney Lake
SL1255,HL-24-14A,Tuff,Absent,Absent,Minor,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Minor,Absent,Minor,Absent,4055,Harney Lake
SL1256,HL-24-14B,Tuff,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Minor,Absent,Minor,Absent,4055,Harney Lake
SL1257,HL-25-1A,Tuff,Absent,Absent,Absent,Absent,Minor,Minor,Trace,Absent,Absent,Absent,Absent,Absent,Minor,Absent,Absent,4055,Harney Lake
SL1258,HL-25-1B,Tuff,Minor,Absent,Absent,Absent,Minor,Absent,Absent,Absent,Absent,Absent,Trace,Absent,Absent,Trace,Absent,4055,Harney Lake
SL1259,HL-25-3,Tuff,Absent,Absent,Absent,Absent,Absent,Minor,Absent,Absent,Absent,Absent,Absent,Absent,Major,Absent,Absent,4055,Harney Lake
SL1260,HL-25-8A,Tuff,Major,Absent,Absent,Absent,Absent,Minor,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,4055,Harney Lake
SL1261,HL-25-8C,Tuff,Absent,Absent,Absent,Absent,Absent,Minor,Absent,Absent,Minor,Absent,Absent,Absent,Absent,Trace,Absent,4055,Harney Lake
SL1262,HL-25-9A,Tuff,Absent,Absent,Minor,Absent,Absent,Minor,Absent,Absent,Minor,Absent,Absent,Absent,Absent,Absent,Absent,4055,Harney Lake
SL1263,HL-25-9B,Tuff,Absent,Absent,Minor,Absent,Absent,Major,Trace,Absent,Absent,Absent,Absent,Absent,Minor,Absent,Absent,4055,Harney Lake
SL1264,HL-26B,Tuff,Absent,Absent,Minor,Absent,Trace,Absent,Minor,Absent,Minor,Absent,Absent,Absent,Absent,Minor,Absent,4055,Harney Lake
SL1265,HL-27,Tuff,Minor,Absent,Absent,Absent,Minor,Absent,Trace,Absent,Absent,Absent,Absent,Minor,Absent,Minor,Absent,4055,Harney Lake
SL1266,HL-28A,Tuff,Minor,Absent,Minor,Absent,Trace,Absent,Minor,Absent,Absent,Absent,Absent,Absent,Absent,Minor,Absent,4055,Harney Lake
SL1267,HL-28B,Tuff,Minor,Absent,Minor,Absent,Absent,Absent,Minor,Absent,Minor,Absent,Absent,Absent,Absent,Minor,Absent,4055,Harney Lake
SL1268,HL-31A,Tuff,Absent,Absent,Minor,Absent,Absent,Major,Absent,Absent,Absent,Absent,Absent,Trace,Minor,Absent,Absent,4055,Harney Lake
SL1269,HL-31B,Tuff,Absent,Absent,Absent,Absent,Absent,Minor,Trace,Absent,Absent,Absent,Absent,Absent,Minor,Absent,Absent,4055,Harney Lake
SL1270,HL-32A,Tuff,Absent,Absent,Trace,Absent,Absent,Major,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,4055,Harney Lake
SL1271,HL-32B,Tuff,Absent,Absent,Trace,Absent,Absent,Minor,Absent,Absent,Absent,Absent,Absent,Absent,Minor,Absent,Absent,4055,Harney Lake
SL1272,HL-33,Tuff,Absent,Absent,Absent,Minor,Absent,Minor,Trace,Minor,Absent,Absent,Absent,Absent,Minor,Absent,Absent,4055,Harney Lake
SL1273,HL-34,Tuff,Absent,Absent,Absent,Absent,Absent,Major,Trace,Absent,Absent,Absent,Absent,Absent,Minor,Absent,Absent,4055,Harney Lake
SL1274,HL-36,Tuff,Absent,Absent,Absent,Absent,Absent,Major,Trace,Absent,Absent,Absent,Absent,Absent,Minor,Absent,Absent,4055,Harney Lake
SL1275,HL-37,Tuff,Absent,Absent,Absent,Absent,Absent,Major,Trace,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,4055,Harney Lake
SL1276,HL-38,Tuff,Absent,Absent,Minor,Absent,Absent,Major,Trace,Absent,Absent,Absent,Absent,Absent,Minor,Absent,Absent,4055,Harney Lake
SL1277,HL-39-1A,Tuff,Absent,Absent,Absent,Absent,Absent,Major,Trace,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,4055,Harney Lake
SL1278,HL-39-1B,Tuff,Absent,Absent,Absent,Absent,Absent,Major,Trace,Absent,Absent,Absent,Absent,Absent,Minor,Absent,Absent,4055,Harney Lake
SL1279,HL-39-2A,Tuff,Absent,Absent,Absent,Absent,Absent,Major,Trace,Minor,Absent,Absent,Absent,Minor,Absent,Absent,Absent,4055,Harney Lake
SL1280,HL-39-2B,Tuff,Absent,Absent,Absent,Absent,Absent,Minor,Trace,Minor,Absent,Absent,Absent,Minor,Absent,Absent,Absent,4055,Harney Lake
SL1281,HL-39-3A,Tuff,Absent,Absent,Trace,Absent,Absent,Minor,Absent,Absent,Absent,Absent,Absent,Minor,Minor,Absent,Absent,4055,Harney Lake
SL1282,HL-39-3B,Tuff,Absent,Absent,Absent,Absent,Absent,Minor,Absent,Minor,Absent,Absent,Absent,Absent,Minor,Absent,Absent,4055,Harney Lake
SL1283,HL-39-3C,Tuff,Absent,Absent,Minor,Absent,Absent,Minor,Absent,Absent,Absent,Absent,Absent,Absent,Minor,Minor,Absent,4055,Harney Lake
SL1284,HL-39-4A,Tuff,Absent,Absent,Minor,Absent,Absent,Minor,Absent,Minor,Absent,Absent,Trace,Absent,Absent,Absent,Absent,4055,Harney Lake
SL1285,HL-39-4B,Tuff,Absent,Absent,Minor,Absent,Absent,Minor,Absent,Absent,Absent,Absent,Minor,Absent,Trace,Absent,Trace,4055,Harney Lake
SL1286,HL-39-4C,Tuff,Absent,Absent,Minor,Absent,Absent,Minor,Trace,Absent,Absent,Absent,Minor,Absent,Trace,Absent,Absent,4055,Harney Lake
SL1287,HL-39-4D,Tuff,Absent,Absent,Minor,Absent,Absent,Minor,Trace,Trace,Absent,Absent,Absent,Absent,Minor,Absent,Absent,4055,Harney Lake
SL1288,HL-40A,Tuff,Major,Absent,Absent,Absent,Minor,Absent,Trace,Absent,Absent,Absent,Absent,Absent,Absent,Trace,Absent,4055,Harney Lake
SL1289,HL-40B,Tuff,Absent,Absent,Trace,Absent,Minor,Minor,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,4055,Harney Lake
SL1290,HL-41,Tuff,Absent,Absent,Minor,Absent,Absent,Major,Absent,Absent,Absent,Absent,Absent,Trace,Absent,Absent,Absent,4055,Harney Lake
SL1291,HL-42,Tuff,Absent,Absent,Minor,Minor,Absent,Trace,Absent,Absent,Absent,Major,Absent,Absent,Absent,Absent,Absent,4055,Harney Lake
SL1292,HL-43B,Tuff,Absent,Absent,Absent,Absent,Absent,Minor,Absent,Absent,Absent,Minor,Minor,Absent,Absent,Absent,Absent,4055,Harney Lake
SL1293,HL-44,Tuff,Absent,Absent,Absent,Absent,Trace,Minor,Absent,Absent,Absent,Absent,Absent,Minor,Minor,Minor,Absent,4055,Harney Lake
SL1294,HL-45A,Tuff,Minor,Absent,Minor,Absent,Absent,Trace,Minor,Absent,Absent,Absent,Absent,Absent,Absent,Minor,Absent,4055,Harney Lake
SL1295,HL-45B,Tuff,Minor,Absent,Absent,Absent,Absent,Absent,Minor,Absent,Trace,Absent,Absent,Absent,Absent,Absent,Absent,4055,Harney Lake
SL1296,HL-45C,Tuff,Absent,Absent,Absent,Absent,Absent,Major,Trace,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,4055,Harney Lake
SL1297,HL-45D,Tuff,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Minor,Absent,Minor,Minor,4055,Harney Lake
SL1298,HL-46A,Tuff,Major,Absent,Absent,Absent,Absent,Minor,Trace,Absent,Absent,Absent,Absent,Absent,Minor,Absent,Absent,4055,Harney Lake
SL1299,HL-46B,Tuff,Absent,Absent,Absent,Absent,Absent,Minor,Absent,Absent,Absent,Absent,Trace,Absent,Major,Absent,Absent,4055,Harney Lake
SL1300,HL-47A,Tuff,Absent,Absent,Minor,Absent,Absent,Absent,Minor,Absent,Absent,Absent,Absent,Minor,Absent,Minor,Absent,4055,Harney Lake
SL1301,HL-47D,Tuff,Minor,Absent,Minor,Absent,Trace,Absent,Minor,Absent,Absent,Absent,Absent,Absent,Absent,Minor,Absent,4055,Harney Lake
SL1302,HL-48-1C,Tuff,Absent,Absent,Absent,Absent,Absent,Minor,Minor,Absent,Absent,Absent,Absent,Absent,Absent,Minor,Absent,4055,Harney Lake
SL1303,HL-48-8,Tuff,Absent,Absent,Absent,Absent,Absent,Major,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Minor,Absent,4055,Harney Lake
SL1304,HL-48-12,Tuff,Minor,Absent,Minor,Absent,Absent,Absent,Trace,Absent,Trace,Absent,Absent,Minor,Absent,Trace,Absent,4055,Harney Lake
SL1305,HL-48-13,Tuff,Major,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Trace,Absent,Absent,Absent,Absent,4055,Harney Lake
SL1306,HL-49,Tuff,Absent,Absent,Minor,Absent,Absent,Absent,Absent,Major,Absent,Absent,Absent,Absent,Minor,Trace,Absent,4055,Harney Lake
